datetime,season,holiday,workingday,weather,temp,atemp,humidity,windspeed
01/01/2011 0:00,1,0,0,1,9.84,14.395,81,0
01/01/2011 1:00,1,0,0,1,9.02,13.635,80,0
01/01/2011 2:00,1,0,0,1,9.02,13.635,80,0
01/01/2011 3:00,1,0,0,1,9.84,14.395,75,0
01/01/2011 4:00,1,0,0,1,9.84,14.395,75,0
01/01/2011 5:00,1,0,0,2,9.84,12.88,75,6.0032
01/01/2011 6:00,1,0,0,1,9.02,13.635,80,0
01/01/2011 7:00,1,0,0,1,8.2,12.88,86,0
01/01/2011 8:00,1,0,0,1,9.84,14.395,75,0
01/01/2011 9:00,1,0,0,1,13.12,17.425,76,0
01/01/2011 10:00,1,0,0,1,15.58,19.695,76,16.9979
01/01/2011 11:00,1,0,0,1,14.76,16.665,81,19.0012
01/01/2011 12:00,1,0,0,1,17.22,21.21,77,19.0012
01/01/2011 13:00,1,0,0,2,18.86,22.725,72,19.9995
01/01/2011 14:00,1,0,0,2,18.86,22.725,72,19.0012
01/01/2011 15:00,1,0,0,2,18.04,21.97,77,19.9995
01/01/2011 16:00,1,0,0,2,17.22,21.21,82,19.9995
01/01/2011 17:00,1,0,0,2,18.04,21.97,82,19.0012
01/01/2011 18:00,1,0,0,3,17.22,21.21,88,16.9979
01/01/2011 19:00,1,0,0,3,17.22,21.21,88,16.9979
01/01/2011 20:00,1,0,0,2,16.4,20.455,87,16.9979
01/01/2011 21:00,1,0,0,2,16.4,20.455,87,12.998
01/01/2011 22:00,1,0,0,2,16.4,20.455,94,15.0013
01/01/2011 23:00,1,0,0,2,18.86,22.725,88,19.9995
01/02/2011 0:00,1,0,0,2,18.86,22.725,88,19.9995
01/02/2011 1:00,1,0,0,2,18.04,21.97,94,16.9979
01/02/2011 2:00,1,0,0,2,17.22,21.21,100,19.0012
01/02/2011 3:00,1,0,0,2,18.86,22.725,94,12.998
01/02/2011 4:00,1,0,0,2,18.86,22.725,94,12.998
01/02/2011 6:00,1,0,0,3,17.22,21.21,77,19.9995
01/02/2011 7:00,1,0,0,2,16.4,20.455,76,12.998
01/02/2011 8:00,1,0,0,3,16.4,20.455,71,15.0013
01/02/2011 9:00,1,0,0,2,15.58,19.695,76,15.0013
01/02/2011 10:00,1,0,0,2,14.76,17.425,81,15.0013
01/02/2011 11:00,1,0,0,2,14.76,16.665,71,16.9979
01/02/2011 12:00,1,0,0,2,14.76,16.665,66,19.9995
01/02/2011 13:00,1,0,0,2,14.76,17.425,66,8.9981
01/02/2011 14:00,1,0,0,3,14.76,17.425,76,12.998
01/02/2011 15:00,1,0,0,3,13.94,16.665,81,11.0014
01/02/2011 16:00,1,0,0,3,13.94,16.665,71,11.0014
01/02/2011 17:00,1,0,0,1,13.94,16.665,57,12.998
01/02/2011 18:00,1,0,0,2,14.76,16.665,46,22.0028
01/02/2011 19:00,1,0,0,1,13.12,14.395,42,30.0026
01/02/2011 20:00,1,0,0,1,12.3,13.635,39,23.9994
01/02/2011 21:00,1,0,0,1,10.66,11.365,44,22.0028
01/02/2011 22:00,1,0,0,1,9.84,10.605,44,19.9995
01/02/2011 23:00,1,0,0,1,9.02,11.365,47,11.0014
01/03/2011 0:00,1,0,1,1,9.02,9.85,44,23.9994
01/03/2011 1:00,1,0,1,1,8.2,8.335,44,27.9993
01/03/2011 4:00,1,0,1,1,6.56,6.82,47,26.0027
01/03/2011 5:00,1,0,1,1,6.56,6.82,47,19.0012
01/03/2011 6:00,1,0,1,1,5.74,5.305,50,26.0027
01/03/2011 7:00,1,0,1,1,5.74,6.82,50,12.998
01/03/2011 8:00,1,0,1,1,5.74,6.06,50,19.0012
01/03/2011 9:00,1,0,1,1,6.56,6.82,43,26.0027
01/03/2011 10:00,1,0,1,1,7.38,8.335,43,16.9979
01/03/2011 11:00,1,0,1,1,8.2,9.09,40,22.0028
01/03/2011 12:00,1,0,1,1,9.02,10.605,35,19.9995
01/03/2011 13:00,1,0,1,1,9.84,10.605,35,19.0012
01/03/2011 14:00,1,0,1,1,10.66,12.12,30,19.0012
01/03/2011 15:00,1,0,1,1,10.66,12.12,30,16.9979
01/03/2011 16:00,1,0,1,1,10.66,12.12,30,16.9979
01/03/2011 17:00,1,0,1,1,9.84,11.365,30,15.0013
01/03/2011 18:00,1,0,1,1,9.84,12.88,32,7.0015
01/03/2011 19:00,1,0,1,1,8.2,12.88,47,0
01/03/2011 20:00,1,0,1,1,8.2,11.365,47,7.0015
01/03/2011 21:00,1,0,1,1,7.38,9.85,64,8.9981
01/03/2011 22:00,1,0,1,1,5.74,7.575,69,8.9981
01/03/2011 23:00,1,0,1,1,7.38,10.605,55,7.0015
01/04/2011 0:00,1,0,1,1,6.56,9.09,55,7.0015
01/04/2011 1:00,1,0,1,1,6.56,9.09,59,7.0015
01/04/2011 2:00,1,0,1,1,5.74,7.575,63,8.9981
01/04/2011 4:00,1,0,1,1,5.74,9.09,63,6.0032
01/04/2011 5:00,1,0,1,1,4.92,7.575,68,7.0015
01/04/2011 6:00,1,0,1,1,4.92,7.575,74,7.0015
01/04/2011 7:00,1,0,1,1,4.92,7.575,74,8.9981
01/04/2011 8:00,1,0,1,1,5.74,7.575,69,11.0014
01/04/2011 9:00,1,0,1,1,6.56,7.575,64,15.0013
01/04/2011 10:00,1,0,1,2,6.56,6.82,69,22.0028
01/04/2011 11:00,1,0,1,1,9.02,10.605,51,19.9995
01/04/2011 12:00,1,0,1,1,9.02,11.365,51,11.0014
01/04/2011 13:00,1,0,1,1,9.84,11.365,56,12.998
01/04/2011 14:00,1,0,1,1,10.66,12.88,52,15.0013
01/04/2011 15:00,1,0,1,1,11.48,13.635,52,16.9979
01/04/2011 16:00,1,0,1,1,12.3,14.395,49,16.9979
01/04/2011 17:00,1,0,1,1,11.48,13.635,48,15.0013
01/04/2011 18:00,1,0,1,1,10.66,12.88,48,12.998
01/04/2011 19:00,1,0,1,1,9.84,12.88,48,7.0015
01/04/2011 20:00,1,0,1,1,9.84,12.88,48,7.0015
01/04/2011 21:00,1,0,1,1,9.02,13.635,64,0
01/04/2011 22:00,1,0,1,1,9.02,12.88,64,6.0032
01/04/2011 23:00,1,0,1,1,8.2,11.365,69,6.0032
01/05/2011 0:00,1,0,1,1,8.2,12.88,64,0
01/05/2011 1:00,1,0,1,1,6.56,9.85,74,6.0032
01/05/2011 2:00,1,0,1,1,6.56,9.85,74,6.0032
01/05/2011 4:00,1,0,1,1,9.84,11.365,48,15.0013
01/05/2011 5:00,1,0,1,1,9.02,11.365,47,11.0014
01/05/2011 6:00,1,0,1,1,8.2,9.85,47,15.0013
01/05/2011 7:00,1,0,1,1,7.38,9.09,43,12.998
01/05/2011 8:00,1,0,1,1,8.2,9.09,40,19.9995
01/05/2011 9:00,1,0,1,1,9.02,9.85,37,22.0028
01/05/2011 10:00,1,0,1,1,9.02,9.85,37,22.0028
01/05/2011 11:00,1,0,1,1,10.66,11.365,33,22.0028
01/05/2011 12:00,1,0,1,1,10.66,11.365,33,22.0028
01/05/2011 13:00,1,0,1,1,11.48,12.88,30,19.9995
01/05/2011 14:00,1,0,1,1,12.3,14.395,28,12.998
01/05/2011 15:00,1,0,1,1,12.3,14.395,28,12.998
01/05/2011 16:00,1,0,1,1,12.3,15.91,28,6.0032
01/05/2011 17:00,1,0,1,1,9.84,11.365,38,12.998
01/05/2011 18:00,1,0,1,1,9.84,12.12,38,8.9981
01/05/2011 19:00,1,0,1,1,9.84,12.88,38,7.0015
01/05/2011 20:00,1,0,1,1,9.02,11.365,47,11.0014
01/05/2011 21:00,1,0,1,1,8.2,9.85,51,12.998
01/05/2011 22:00,1,0,1,1,7.38,9.85,55,8.9981
01/05/2011 23:00,1,0,1,1,8.2,12.88,47,0
01/06/2011 0:00,1,0,1,1,7.38,12.12,55,0
01/06/2011 1:00,1,0,1,1,6.56,11.365,64,0
01/06/2011 2:00,1,0,1,1,6.56,11.365,64,0
01/06/2011 4:00,1,0,1,2,6.56,9.85,64,6.0032
01/06/2011 5:00,1,0,1,2,5.74,9.09,69,6.0032
01/06/2011 6:00,1,0,1,2,5.74,8.335,63,7.0015
01/06/2011 7:00,1,0,1,2,6.56,11.365,59,0
01/06/2011 8:00,1,0,1,1,6.56,11.365,59,0
01/06/2011 9:00,1,0,1,2,7.38,12.12,51,0
01/06/2011 10:00,1,0,1,1,8.2,12.88,47,0
01/06/2011 11:00,1,0,1,1,9.02,12.88,44,6.0032
01/06/2011 12:00,1,0,1,1,10.66,14.395,35,0
01/06/2011 13:00,1,0,1,1,10.66,13.635,35,7.0015
01/06/2011 14:00,1,0,1,1,11.48,13.635,36,11.0014
01/06/2011 15:00,1,0,1,1,11.48,13.635,36,0
01/06/2011 16:00,1,0,1,1,10.66,12.88,38,11.0014
01/06/2011 17:00,1,0,1,1,9.02,11.365,51,11.0014
01/06/2011 18:00,1,0,1,1,9.02,11.365,51,8.9981
01/06/2011 19:00,1,0,1,1,9.02,12.88,55,6.0032
01/06/2011 20:00,1,0,1,1,8.2,10.605,51,11.0014
01/06/2011 21:00,1,0,1,2,9.02,10.605,55,15.0013
01/06/2011 22:00,1,0,1,2,9.02,10.605,51,19.0012
01/06/2011 23:00,1,0,1,2,8.2,9.85,59,12.998
01/07/2011 0:00,1,0,1,2,8.2,9.85,64,12.998
01/07/2011 1:00,1,0,1,2,8.2,9.85,69,15.0013
01/07/2011 2:00,1,0,1,2,8.2,9.85,69,15.0013
01/07/2011 4:00,1,0,1,2,8.2,10.605,69,8.9981
01/07/2011 5:00,1,0,1,3,9.02,13.635,55,0
01/07/2011 6:00,1,0,1,2,8.2,12.88,69,0
01/07/2011 7:00,1,0,1,1,8.2,10.605,69,8.9981
01/07/2011 8:00,1,0,1,1,8.2,9.85,51,16.9979
01/07/2011 9:00,1,0,1,1,8.2,9.09,47,19.9995
01/07/2011 10:00,1,0,1,1,9.02,9.85,37,22.0028
01/07/2011 11:00,1,0,1,2,8.2,9.85,40,15.0013
01/07/2011 12:00,1,0,1,2,8.2,9.85,37,16.9979
01/07/2011 13:00,1,0,1,2,8.2,9.09,37,19.0012
01/07/2011 14:00,1,0,1,2,8.2,9.85,40,16.9979
01/07/2011 15:00,1,0,1,2,8.2,10.605,37,11.0014
01/07/2011 16:00,1,0,1,2,8.2,10.605,37,11.0014
01/07/2011 17:00,1,0,1,2,8.2,12.88,37,0
01/07/2011 18:00,1,0,1,1,8.2,11.365,40,6.0032
01/07/2011 19:00,1,0,1,1,6.56,9.85,55,6.0032
01/07/2011 20:00,1,0,1,1,7.38,10.605,47,7.0015
01/07/2011 21:00,1,0,1,1,7.38,9.85,47,8.9981
01/07/2011 22:00,1,0,1,2,7.38,9.85,43,11.0014
01/07/2011 23:00,1,0,1,2,7.38,9.85,51,11.0014
01/08/2011 0:00,1,0,0,2,7.38,9.85,51,11.0014
01/08/2011 1:00,1,0,0,2,7.38,10.605,55,6.0032
01/08/2011 2:00,1,0,0,2,7.38,12.12,55,0
01/08/2011 3:00,1,0,0,3,7.38,9.85,55,11.0014
01/08/2011 4:00,1,0,0,3,7.38,9.85,55,11.0014
01/08/2011 5:00,1,0,0,2,6.56,8.335,74,11.0014
01/08/2011 6:00,1,0,0,2,6.56,8.335,74,11.0014
01/08/2011 7:00,1,0,0,2,6.56,9.09,74,7.0015
01/08/2011 8:00,1,0,0,3,6.56,9.09,93,7.0015
01/08/2011 9:00,1,0,0,3,6.56,9.09,93,7.0015
01/08/2011 10:00,1,0,0,2,7.38,9.85,80,11.0014
01/08/2011 11:00,1,0,0,2,8.2,9.09,69,26.0027
01/08/2011 12:00,1,0,0,2,8.2,9.09,59,23.9994
01/08/2011 13:00,1,0,0,1,8.2,9.09,44,22.0028
01/08/2011 14:00,1,0,0,1,8.2,8.335,32,32.9975
01/08/2011 15:00,1,0,0,1,8.2,8.335,32,30.0026
01/08/2011 16:00,1,0,0,1,7.38,6.82,29,30.0026
01/08/2011 17:00,1,0,0,1,6.56,6.06,37,36.9974
01/08/2011 18:00,1,0,0,1,5.74,6.06,39,19.9995
01/08/2011 19:00,1,0,0,1,5.74,6.06,36,16.9979
01/08/2011 20:00,1,0,0,1,4.92,6.06,36,16.9979
01/08/2011 21:00,1,0,0,1,4.92,5.305,39,23.9994
01/08/2011 22:00,1,0,0,1,4.92,5.305,36,26.0027
01/08/2011 23:00,1,0,0,1,4.1,3.03,39,30.0026
01/09/2011 0:00,1,0,0,1,4.1,3.79,42,26.0027
01/09/2011 1:00,1,0,0,1,4.1,3.03,42,31.0009
01/09/2011 2:00,1,0,0,1,4.1,3.03,46,31.0009
01/09/2011 3:00,1,0,0,1,4.1,3.79,46,27.9993
01/09/2011 4:00,1,0,0,1,3.28,4.545,53,12.998
01/09/2011 5:00,1,0,0,1,3.28,4.545,53,12.998
01/09/2011 6:00,1,0,0,1,4.1,4.545,49,19.0012
01/09/2011 7:00,1,0,0,1,3.28,4.545,53,12.998
01/09/2011 8:00,1,0,0,1,4.1,4.545,49,19.0012
